kod,komunikat,bon,płeć,wiek,tryb,rok,waznosc,Nastroj1,Nastroj2,indeks_przychylności,wynik_ogólny,nastroj_diff,Nastroj1_mapped,komunikat_mapped,Nastroj1_komunikat_congruence,Nastroj1_komunikat_congruence_abs,plec_komunikat_bon,komunikat_bon,Nastroj1_komunikat_congruence_komunikat
XX31,1,1,1,20,2,1,5,4,2,1.0,1.5,-2,5,5,0,0,k_1_1,1_1,0_1
XX32,1,1,1,21,2,1,1,3,3,5.0,4.125,0,3,5,-2,2,k_1_1,1_1,-2_1
WEI04,1,1,1,22,2,1,4,3,1,1.0,2.625,-2,3,5,-2,2,k_1_1,1_1,-2_1
XX33,1,1,1,23,2,1,3,5,5,5.0,4.25,0,5,5,0,0,k_1_1,1_1,0_1
SMW11,1,1,1,23,2,1,2,3,4,4.0,3.75,1,3,5,-2,2,k_1_1,1_1,-2_1
MLM11,1,1,1,26,2,1,3,3,3,5.0,3.75,0,3,5,-2,2,k_1_1,1_1,-2_1
MIL09,1,1,1,33,2,1,3,4,4,4.0,3.625,0,5,5,0,0,k_1_1,1_1,0_1
JJH09,1,1,1,34,2,1,5,5,5,5.0,5.0,0,5,5,0,0,k_1_1,1_1,0_1
XX34,1,1,2,21,2,1,3,4,4,3.0,3.75,0,5,5,0,0,m_1_1,1_1,0_1
ZMM07,1,1,3,21,2,1,3,3,3,3.5,4.0625,0,3,5,-2,2,inna_1_1,1_1,-2_1
DOJ06,1,1,1,19,1,1,5,3,2,4.0,3.875,-1,3,5,-2,2,k_1_1,1_1,-2_1
